# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.8.4

44ba9421-c8e3-44ef-88a0-e5dcaf172b7f.log, boolean, 00
486819ac-4342-4f9d-96a0-8dd2fd0d2b7e.log, boolean, 00
a117aaeb-1a4c-4178-9b02-e950815ba4b8.log, boolean, 00
animal::1, string, 8003636F77
animal::2, string, 8007636869636B656E
animal::3, string, 80057368656570
animal::4, string, 8003636F64
animal::5, string, 8006726162626974
animal::6, string, 800673616C6D6F6E
animal::7, string, 8004776F6C66
animal::8, string, 8003706967
animal::9, string, 80096D6F6F7368726F6F6D
blocks::1, string, 800B636F62626C6573746F6E65
blocks::2, string, 800E616E6369656E7420646562726973
blocks::3, string, 800B656D6572616C64206F7265
blocks::4, string, 800B6469616D6F6E64206F7265
blocks::5, string, 800869726F6E206F7265
blocks::6, string, 8008676F6C64206F7265
blocks::7, string, 8004636F616C
blocks::8, string, 8007626564726F636B
book, string, 80087364667364666473
c42c6fc6-e8b9-40b9-bdbf-82db3c684ee8.log, boolean, 00
cobblecooldown::1, long, 0000000000000000
discs::1, string, 800D6D757369632064697363203133
discs::2, string, 800E6D75736963206469736320636174
discs::3, string, 800D6D757369632064697363203131
discs::4, string, 80126D757369632064697363206D656C6C6F6869
discs::5, string, 80116D75736963206469736320626C6F636B73
discs::6, string, 80106D757369632064697363206368697270
discs::7, string, 800E6D75736963206469736320666172
discs::8, string, 800F6D757369632064697363206D616C6C
discs::9, string, 800F6D757369632064697363207374616C
discs::10, string, 80106D757369632064697363207374726164
discs::11, string, 800F6D7573696320646973632077617264
discs::12, string, 800F6D7573696320646973632077616974
discs::13, string, 80126D7573696320646973632070696773746570
entity:1f8cf94e-aa67-4a98-b8d4-be5f94015140.log, boolean, 00
entity:399546e1-e515-42da-ad04-981de83961cd.log, boolean, 00
entity:9beebaef-0e05-4ddc-be59-d99d9249703f.log, boolean, 00
fmobcooldown::1, long, 0000000000000000
hmobcooldown::1, long, 0000000000000000
hostile::1, string, 80067A6F6D626965
hostile::2, string, 8008736B656C65746F6E
hostile::3, string, 800A73696C76657266697368
hostile::4, string, 800763726565706572
hostile::5, string, 80077068616E746F6D
hostile::6, string, 8006737069646572
hostile::7, string, 8008656E6465726D616E
hostile::8, string, 800A76696E64696361746F72
hostile::9, string, 800870696C6C61676572
mobcooldown::1, long, 0000000000000000
oneblock::1, boolean, 00
orecooldown::1, long, 0000000000000000
orecooldown.<none>, long, 0000000000000000
orecooldown.rare1k, long, 0000000000000000
"sucobblecooldown::world:11.5,64.5,5.5486819ac-4342-4f9d-96a0-8dd2fd0d2b7e", long, 0000000000000000
"sucobblecooldown::world:18.5,64.5,10.5486819ac-4342-4f9d-96a0-8dd2fd0d2b7e", long, 0000000000000000
"sucobblecooldown::world:23.5,64.5,17.5486819ac-4342-4f9d-96a0-8dd2fd0d2b7e", long, 0000000000000000
ucobblecooldown::1, long, 0000000000000000

